Sentence,Label
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE DEAL 1 PLANT BEYOND ITALIAN SAUSAG,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'B', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE DEAL 1 PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'O']"
DV. MED CLASSIC NO G~~DV. MED PIZZA~~M CLC NG PLANT VEG SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE DEAL 2 PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'O']"
DV. LG CHEESY BITES~~DV. LARGE PIZZA~~L CB HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'B', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. SML CLASSIC NO G~~JE. SMALL PIZZA~~S SF NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
HUT TOPPINGS DEFAULT~~HUT TOPPINGS~~LARGE HOT HONEY PEPPERONI FEAST,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE PLANT MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O']"
HUT DEALS~~HUT DEALS~~SF ULT PIZZA FEAST,"['O', 'C', 'O', 'C', 'O', 'O', 'C', 'O']"
JE. LG CLASSIC NO GR~~JE. LARGE PIZZA~~L SF NG PLANT VEG SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
PREP LG TOPPINGS~~PREP BUILD~~L CLC 108G SQUARE HAM,"['O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PAN~~DV. LARGE PIZZA~~L PAN PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE UPG DEAL 1 PLANT BEYOND ITALIAN SA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'C', 'O', 'O', 'O', 'B', 'O']"
JE. TOPPINGS DEFAULT~~JE. TOPPINGS~~SC PLANT (EX) CHEEZ +170 PLANT -225 MOZ,"['O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~M CLC 38G CUP N CRISP PEPPERONI,"['O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~L SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. DRINKS~~JE. DRINKS~~MLT NO DRINK,"['O', 'C', 'O', 'C', 'O', 'O', 'O']"
PREP LG TOPPINGS~~PREP BUILD~~L CLC 90G SLICED MUSHROOMS,"['O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. MED PIZZA~~DV. MED PIZZA~~MEDIUM PLANT SAN FRAN BEYOND ITALIAN SAU,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'B', 'O']"
UE. TOPPINGS DEFAULT~~UE. TOPPINGS~~S PLANT (EX) CHEEZE +45G PLANT -90 MOZ,"['O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
HUT TOPPINGS DEFAULT~~HUT TOPPINGS~~M PLANT (EX) CHEEZE +100 PLANT -150 MOZ,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. SML PIZZA~~UE. SMALL PIZZA~~SMALL PLANT SAN FRAN MARGHERITA,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL PLANT SAN FRAN VEG SIZZLER,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. MED PIZZA~~JE. MED PIZZA~~MEDIUM DEAL 1 PLANT SAN FRAN MARGHERITA,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
PHD MED CLASSIC NO G~~PHD MED PIZZA~~M CLC NG HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. PREMIUM SIDES~~JE. SIDES~~ANY £1 HOT HONEY HALLOUMI FRIES (V),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~MEDIUM PLANT SAN FRAN MARGHERITA,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
HUT DEALS~~HUT DEALS~~SF ULT PIZZA FST,"['O', 'C', 'O', 'C', 'O', 'O', 'C', 'O']"
PREP BASES~~FOOD PREPARED ITEMS~~BNY BEYOND MEAT PEPPERONI MEAT FEAST,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 2 PLANT SAN FRAN BEYOND ITALI,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. MED PIZZA~~DV. MED PIZZA~~MEDIUM DEAL 1 PLANT SAN FRAN BEYOND ITAL,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 3 PLANT SAN FRAN BEYOND ITALI,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE UPG DEAL 1 PLANT VEG SIZZLER,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. SML CLASSIC NO G~~UE. SMALL PIZZA~~S CLC NG PLANT VEG SIZZLER,"['O', 'O', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. LG PAN~~JE. LARGE PIZZA~~L PAN PLANT VEG SUPREME,"['O', 'O', 'B', 'O', 'S', 'C', 'S', 'B', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE PLANT VEG SUPREME,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O']"
DV. DESSERTS~~DV. DESSERTS~~BEN & JERRY’S SPECTACU-LOVE 465ML,"['O', 'C', 'O', 'C', 'O', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE DEAL 2 PLANT SAN FRAN BEYOND ITALI,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~S CLC 11G DRIED CHILLI FLAKES,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE UPG DEAL 1 PLANT MARGHERITA,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
